Scenario_ID,Topology,Node_Count,Node_Density_nodes_per_km2,Terrain_Size_m,Node_Speed_mps,Traffic_Rate_bps,Packet_Size_bytes,TTL,Wait_Time_s,Retry_Attempts,Route_Expiry_s,Buffer_Size_packets,Thresh_Min,Thresh_Max,Drop_Probability,Source_Node,Destination_Node,Initial_Hops,AODV-AERS1_Throughput_Mbps,AODV-AERS1_PDR,AODV-AERS1_E2E_Delay_ms,AODV-AERS1_TxPackets,AODV-AERS1_RxPackets,AODV-AERS2_Throughput_Mbps,AODV-AERS2_PDR,AODV-AERS2_E2E_Delay_ms,AODV-AERS2_TxPackets,AODV-AERS2_RxPackets,AODV-AERS3_Throughput_Mbps,AODV-AERS3_PDR,AODV-AERS3_E2E_Delay_ms,AODV-AERS3_TxPackets,AODV-AERS3_RxPackets,OLSR_Throughput_Mbps,OLSR_PDR,OLSR_E2E_Delay_ms,OLSR_TxPackets,OLSR_RxPackets,DSDV_Throughput_Mbps,DSDV_PDR,DSDV_E2E_Delay_ms,DSDV_TxPackets,DSDV_RxPackets,AODV_Throughput_Mbps,AODV_PDR,AODV_E2E_Delay_ms,AODV_TxPackets,AODV_RxPackets,Optimal_Protocol_Throughput,Optimal_Protocol_PDR,Optimal_Protocol_Delay,Winning_Throughput_Mbps,Winning_PDR,Winning_Delay_ms
607,HOTSPOT,49,46.821064,1023.004165,9.31021,1624437,1147,8,2.463127,3,4.000397,136,20,67,0.144387,35,46,5,1.491467,0.896422,311.000021,2655,2380,0.317093,0.190584,304.042962,2655,506,1.17688,0.707345,410.512158,2655,1878,0.303933,0.223194,162.957133,2173,485,0.705627,0.424105,338.039684,2655,1126,0.778947,0.468173,208.635585,2655,1243,AODV-AERS1,AODV-AERS1,OLSR,1.491467,0.896422,162.957133
271,HOTSPOT,45,27.724765,1274.008494,11.738571,560104,1253,13,0.765123,1,3.960649,31,7,14,0.094177,35,44,7,0,0,-1,838,0,0.439298,0.767303,16.835651,838,643,0.49737,0.868735,16.496793,838,728,0.346382,0.76012,63.492623,667,507,0.182414,0.318616,115.596983,838,267,0.284211,0.49642,152.245084,838,416,AODV-AERS3,AODV-AERS3,AODV-AERS3,0.49737,0.868735,16.496793
348,HOTSPOT,60,28.980439,1438.875257,6.619456,1179537,223,6,3.315245,3,5.991039,72,10,47,0.07646,49,52,-1,0,0,-1,9917,0,0,0,-1,9917,0,0,0,-1,9917,0,0,0,-1,0,0,0,0,-1,9917,0,0,0,-1,9917,0,NONE,NONE,NONE,0,0,-1
642,LINE,36,21.224028,1302.378896,13.187062,1451100,1060,7,0.71182,4,2.113645,45,8,21,0.03847,0,35,5,0,0,-1,2566,0,0.76131,0.511302,136.258521,2566,1312,0.100966,0.06781,55.318117,2566,174,0,0,-1,360,0,0.181043,0.12159,974.067187,2566,312,0.15203,0.102104,15.709695,2566,262,AODV-AERS2,AODV-AERS2,AODV,0.76131,0.511302,15.709695
402,LINE,44,36.35656,1100.10704,12.670422,327028,733,9,0.906674,2,3.725158,31,7,17,0.097502,0,43,5,0.252449,0.744019,23.520549,836,622,0,0,-1,836,0,0.18264,0.538278,27.704883,836,450,0,0,-1,0,0,0.056415,0.166268,197.432261,836,139,0.29263,0.86244,14.715484,836,721,AODV,AODV,AODV,0.29263,0.86244,14.715484
865,RANDOM,40,13.666143,1710.830647,3.982218,800337,149,6,0.68997,3,3.143561,48,8,29,0.056689,5,30,-1,0,0,-1,10071,0,0,0,-1,10071,0,0,0,-1,10071,0,0,0,-1,0,0,0,0,-1,10071,0,0,0,-1,10071,0,NONE,NONE,NONE,0,0,-1
637,CORRIDOR,61,265.080546,479.706927,2.358501,1001127,1181,6,2.500915,1,1.755765,173,30,80,0.074872,23,58,2,0.490048,0.478288,124.848128,1589,760,0.626746,0.611705,55.898815,1589,972,0,0,-1,1589,0,0.729269,0.711768,43.348155,1589,1131,0.94979,0.926998,9.094398,1589,1473,0.71057,0.693518,60.30436,1589,1102,DSDV,DSDV,DSDV,0.94979,0.926998,9.094398
565,TWO_CLUSTER,58,89.673552,804.232854,1.115735,1761137,295,7,3.366284,2,5.802046,36,9,19,0.131253,7,54,3,0.299916,0.155544,435.532438,11193,1741,0.269425,0.13973,399.28172,11193,1564,0.04031,0.020906,522.254018,11193,234,0.540056,0.437666,463.891634,7163,3135,0.741263,0.384437,578.281642,11193,4303,0.257711,0.133655,413.229627,11193,1496,DSDV,OLSR,AODV-AERS2,0.741263,0.437666,399.28172
131,CORRIDOR,59,265.185822,471.683686,5.198299,629401,1343,6,2.281505,3,3.145494,165,24,99,0.089268,29,32,2,0.429946,0.669704,61.08705,878,588,0.587154,0.914579,7.824924,878,803,0.340739,0.530752,56.29892,878,466,0.551325,0.992105,10.814051,760,754,0.282243,0.439636,18.406851,878,386,0.369987,0.57631,49.533035,878,506,AODV-AERS2,OLSR,AODV-AERS2,0.587154,0.992105,7.824924
64,GRID,24,8.046521,1727.036594,10.070055,547501,141,6,2.719531,1,4.789138,97,15,51,0.127991,4,20,-1,0,0,-1,7280,0,0,0,-1,7280,0,0,0,-1,7280,0,0,0,-1,0,0,0,0,-1,7280,0,0,0,-1,7280,0,NONE,NONE,NONE,0,0,-1
359,GRID,55,419.235444,362.203255,3.515143,1717715,606,8,2.886429,3,3.17982,164,28,111,0.096657,7,48,2,0.881175,0.490403,383.210871,5314,2606,0.872384,0.48551,100.093954,5314,2580,1.794812,0.998871,10.364316,5314,5308,0.913636,0.508468,264.062227,5314,2702,1.424894,0.793,181.282269,5314,4214,1.557442,0.866767,9.73753,5314,4606,AODV-AERS3,AODV-AERS3,AODV,1.794812,0.998871,9.73753
32,RING,71,370.252129,437.905492,3.631415,720354,1384,8,2.696536,2,1.93071,142,20,76,0.035129,33,68,2,0.32909,0.448205,109.173697,975,437,0.476691,0.649231,15.695231,975,633,0.222908,0.30359,68.978429,975,296,0.494765,0.673846,40.890433,975,657,0.355447,0.484103,24.812504,975,472,0.228179,0.310769,228.804185,975,303,OLSR,OLSR,AODV-AERS2,0.494765,0.673846,15.695231
18,RING,60,295.507372,450.600288,1.789267,2085085,657,7,0.758815,2,4.268435,27,3,18,0.086449,18,49,2,0.233448,0.107395,478.802863,5950,639,1.875987,0.863025,26.095496,5950,5135,0.066491,0.030588,345.634576,5950,182,1.725835,0.79395,146.065236,5950,4724,1.135456,0.522353,423.633404,5950,3108,0.003288,0.001513,996.144232,5950,9,AODV-AERS2,AODV-AERS2,AODV-AERS2,1.875987,0.863025,26.095496
879,RING,57,153.335458,609.69991,3.793031,1304389,1366,6,3.047211,4,4.020145,173,43,113,0.168328,24,54,3,0.211145,0.158659,320.323851,1790,284,0.051299,0.038547,107.944395,1790,69,0.704063,0.52905,171.353158,1790,947,0.875804,0.658101,26.583829,1790,1178,1.014832,0.76257,23.961732,1790,1365,0.689937,0.518436,129.620551,1790,928,DSDV,DSDV,DSDV,1.014832,0.76257,23.961732
256,RANDOM,29,24.867493,1079.89865,10.674478,210567,460,13,1.955573,1,2.980509,42,10,29,0.084514,0,11,9,0.060902,0.272727,23.81743,858,234,0.000781,0.003497,2579.071187,858,3,0.085107,0.381119,19.076225,858,327,0,0,-1,678,0,0,0,-1,858,0,0.074697,0.334499,33.049315,858,287,AODV-AERS3,AODV-AERS3,AODV-AERS3,0.085107,0.381119,19.076225
600,CORRIDOR,73,205.383253,596.182077,1.992574,1057740,163,9,3.315017,3,4.031405,99,25,63,0.134827,29,40,3,0.060305,0.048656,268.667109,12167,592,0.109609,0.088436,406.914569,12167,1076,0.052461,0.042328,362.489701,12167,515,0.291237,0.477455,561.142342,5988,2859,0.556599,0.449084,490.531658,12167,5464,0.051341,0.041424,412.884307,12167,504,DSDV,OLSR,AODV-AERS1,0.556599,0.477455,268.667109
374,LINE,57,43.767215,1141.203179,9.581954,142341,894,7,3.252595,2,2.006998,42,10,26,0.172196,0,56,5,0.139161,0.949664,16.581768,298,283,0.103756,0.708054,50.360687,298,211,0.108673,0.741611,15.972181,298,221,0.046223,0.368627,37.739516,255,94,0.138669,0.946309,17.66885,298,282,0.134243,0.916107,21.737913,298,273,AODV-AERS1,AODV-AERS1,AODV-AERS3,0.139161,0.949664,15.972181
950,RING,65,34.22892,1378.034465,4.41717,1577546,508,9,1.460983,1,3.426447,76,12,39,0.16381,6,39,6,0.289011,0.173652,379.815562,5822,1011,0.505412,0.303676,383.108464,5822,1768,0.685508,0.411886,415.179376,5822,2398,0.651776,0.48552,448.126009,4696,2280,0.234982,0.141189,485.622547,5822,822,0.666927,0.400721,363.307388,5822,2333,AODV-AERS3,OLSR,AODV,0.685508,0.48552,363.307388
781,CORRIDOR,65,296.264409,468.400055,1.174442,1234546,1276,5,3.491204,2,2.11751,27,6,14,0.165651,44,51,2,1.17673,0.932745,5.175021,1814,1692,0.205858,0.163175,201.055298,1814,296,0.209335,0.165932,25.363441,1814,301,0.993822,0.896487,22.022814,1594,1429,1.195507,0.94763,20.398877,1814,1719,1.141956,0.905182,127.997471,1814,1642,DSDV,DSDV,AODV-AERS1,1.195507,0.94763,5.175021
437,HOTSPOT,40,29.006319,1174.312513,8.000492,2117792,329,13,3.017628,1,1.40665,123,27,85,0.162327,31,33,7,0.555397,0.241694,453.630779,12069,2917,0.501894,0.218411,500.268724,12069,2636,0.59024,0.256856,436.150208,12069,3100,0.330915,0.263693,784.122077,6591,1738,0.302926,0.131825,736.820792,12069,1591,0.579768,0.252299,443.487272,12069,3045,AODV-AERS3,OLSR,AODV-AERS3,0.59024,0.263693,436.150208
285,HOTSPOT,57,60.806238,968.196169,6.398482,1738506,324,8,3.405023,2,1.522654,109,24,51,0.188419,47,56,6,0.535979,0.283797,438.242409,10060,2855,0.639232,0.338469,407.326236,10060,3405,0.521523,0.276143,398.217062,10060,2778,0.23354,0.154209,571.152001,8067,1244,0,0,-1,10060,0,0.570897,0.302286,401.663438,10060,3041,AODV-AERS2,AODV-AERS2,AODV-AERS3,0.639232,0.338469,398.217062
697,RANDOM,48,106.083681,672.661124,15.443086,973382,635,6,3.378444,4,4.879081,56,13,33,0.153773,25,46,4,0.375877,0.369868,15.546516,2874,1063,0.463923,0.456507,157.181001,2874,1312,0.619861,0.609951,103.461764,2874,1753,0.377291,0.441456,60.410771,2417,1067,0.05693,0.056019,175.921403,2874,161,0.121992,0.120042,389.394219,2874,345,AODV-AERS3,AODV-AERS3,AODV-AERS1,0.619861,0.609951,15.546516
158,TWO_CLUSTER,55,168.295234,571.670045,0.696338,947608,202,5,3.3369,1,4.215567,57,7,28,0.156442,10,17,2,0.301147,0.279136,360.567738,8795,2455,0.130763,0.121205,398.057566,8795,1066,0.176027,0.163161,404.088988,8795,1435,0.486373,0.455747,464.539228,8700,3965,0.616768,0.571688,467.009579,8795,5028,0.339664,0.314838,386.049826,8795,2769,DSDV,DSDV,AODV-AERS1,0.616768,0.571688,360.567738
757,RANDOM,38,17.196327,1486.530952,12.95589,752089,791,19,1.710794,3,2.183689,97,16,55,0.026441,15,22,14,0.031013,0.039843,60.081701,1782,71,0,0,-1,1782,0,0.021403,0.027497,60.924583,1782,49,0,0,-1,0,0,0,0,-1,1782,0,0.018782,0.02413,61.143444,1782,43,AODV-AERS1,AODV-AERS1,AODV-AERS1,0.031013,0.039843,60.081701
224,RING,46,123.043818,611.433199,6.32877,1431767,1253,9,2.637361,3,4.080505,84,11,49,0.118894,2,25,3,1.147093,0.783847,9.733664,2142,1679,1.339755,0.9155,8.156252,2142,1961,0.389424,0.266106,12.180635,2142,570,0.720776,0.577766,39.458231,1826,1055,1.324725,0.905229,9.22078,2142,1939,0.624445,0.426704,11.921088,2142,914,AODV-AERS2,AODV-AERS2,AODV-AERS2,1.339755,0.9155,8.156252
120,CORRIDOR,60,100.603398,772.270241,0.900286,330818,774,8,1.668778,2,1.240373,172,24,117,0.125132,11,41,3,0.061594,0.179775,62.180641,801,144,0.328499,0.958801,6.86589,801,768,0.264339,0.771536,22.885877,801,618,0.285298,1,3.699961,667,667,0.328927,0.96005,17.080932,801,769,0.189914,0.554307,39.794917,801,444,DSDV,OLSR,OLSR,0.328927,1,3.699961
92,CORRIDOR,30,52.094947,758.862035,5.458999,292804,1381,9,3.200263,3,5.295817,112,23,71,0.152819,3,10,3,0.293823,0.984887,8.211966,397,391,0.270528,0.906801,16.305981,397,360,0.290066,0.972292,8.165508,397,386,0.134513,0.542424,44.566826,330,179,0.223186,0.748111,29.670809,397,297,0.293072,0.982368,8.11818,397,390,AODV-AERS1,AODV-AERS1,AODV,0.293823,0.984887,8.11818
489,CORRIDOR,67,451.305564,385.302705,0.970797,681259,152,5,2.36534,1,5.698152,78,12,42,0.082496,9,18,2,0.202944,0.251577,468.276335,8403,2114,0.501216,0.621326,258.641603,8403,5221,0.347232,0.430442,180.982276,8403,3617,0.691104,0.856718,238.588504,8403,7199,0.5376,0.666429,440.358981,8403,5600,0.532896,0.660597,73.919317,8403,5551,OLSR,OLSR,AODV,0.691104,0.856718,73.919317
955,LINE,60,36.974745,1273.86391,14.267995,163039,1247,12,3.234932,2,5.43925,49,7,33,0.09147,0,59,5,0.13056,0.783673,40.056143,245,192,0.06052,0.363265,83.049844,245,89,0,0,-1,245,0,0.00816,0.129032,17.045653,93,12,0.0136,0.081633,1379.951261,245,20,0.02788,0.167347,144.763961,245,41,AODV-AERS1,AODV-AERS1,OLSR,0.13056,0.783673,17.045653
481,RING,43,50.399455,923.679507,13.932362,578434,844,8,3.261694,2,5.997352,121,26,73,0.1517,2,21,4,0.537152,0.898833,7.324876,1285,1155,0.366473,0.61323,21.011411,1285,788,0.489715,0.819455,9.527179,1285,1053,0.189282,0.385052,8.446206,1057,407,0.254857,0.426459,103.000974,1285,548,0.443209,0.741634,16.884979,1285,953,AODV-AERS1,AODV-AERS1,AODV-AERS1,0.537152,0.898833,7.324876
407,RING,72,148.107197,697.233374,1.683,971523,278,6,2.792355,2,2.974131,34,6,20,0.111525,23,60,3,0.386458,0.361416,332.055209,6552,2368,0.462019,0.432082,324.057959,6552,2831,0.120605,0.11279,436.233869,6552,739,0.689846,0.774601,366.963085,5457,4227,0.663408,0.620421,450.925032,6552,4065,0.222115,0.207723,354.07818,6552,1361,OLSR,OLSR,AODV-AERS2,0.689846,0.774601,324.057959
267,HOTSPOT,36,16.12196,1494.315606,9.998436,953356,1376,5,3.139424,3,4.780483,71,13,38,0.151759,28,29,-1,0,0,-1,1299,0,0,0,-1,1299,0,0,0,-1,1299,0,0,0,-1,0,0,0,0,-1,1299,0,0,0,-1,1299,0,NONE,NONE,NONE,0,0,-1
395,GRID,24,13.408753,1337.862343,1.403559,587459,370,8,3.482588,4,5.995602,117,23,57,0.031109,4,20,-1,0,0,-1,2976,0,0,0,-1,2976,0,0,0,-1,2976,0,0,0,-1,0,0,0,0,-1,2976,0,0,0,-1,2976,0,NONE,NONE,NONE,0,0,-1
732,LINE,56,66.28073,919.179592,4.483662,472009,1214,8,3.274965,1,5.063088,177,23,111,0.194332,0,55,4,0.471629,0.97668,7.749773,729,712,0.327888,0.679012,12.778787,729,495,0.399427,0.82716,12.966449,729,603,0.280858,0.750442,29.367904,565,424,0.137117,0.283951,62.648935,729,207,0.474941,0.983539,7.732525,729,717,AODV,AODV,AODV,0.474941,0.983539,7.732525
396,LINE,62,149.046443,644.96335,0.631544,1468439,257,9,2.371242,1,2.67367,39,10,18,0.138705,0,61,3,0.062624,0.038458,346.88427,10713,412,0.08968,0.055073,352.984378,10713,590,0.04788,0.029404,498.481861,10713,315,0.506616,0.379181,460.824456,8790,3333,0.352488,0.216466,483.010977,10713,2319,0.162184,0.099599,410.368426,10713,1067,OLSR,OLSR,AODV-AERS1,0.506616,0.379181,346.88427
574,HOTSPOT,34,169.923077,447.314809,4.572231,96381,1308,5,2.511839,1,4.393758,57,12,34,0.027169,29,31,2,0.097617,0.992754,5.860054,138,137,0.09833,1,3.250656,138,138,0.082654,0.84058,22.358969,138,116,0.096192,0.978261,3.64745,138,135,0.097617,0.992754,11.937398,138,137,0,0,-1,138,0,AODV-AERS2,AODV-AERS2,AODV-AERS2,0.09833,1,3.250656
797,HOTSPOT,48,166.339958,537.18308,1.658918,1598313,862,6,0.668631,1,1.740409,139,19,67,0.142631,35,43,3,1.039995,0.630322,250.528991,3476,2191,0.937467,0.568182,243.853648,3476,1975,0,0,-1,3476,0,0.648395,0.640112,294.922514,2134,1366,1.019109,0.617664,476.677665,3476,2147,0.539221,0.326812,238.35484,3476,1136,AODV-AERS1,OLSR,AODV,1.039995,0.640112,238.35484
706,GRID,28,10.73865,1614.745839,8.885266,1714300,760,15,3.106248,4,3.615509,120,26,62,0.02935,5,24,13,0,0,-1,4229,0,0,0,-1,4229,0,0,0,-1,4229,0,0,0,-1,0,0,0,0,-1,4229,0,0,0,-1,4229,0,NONE,NONE,NONE,0,0,-1
119,RANDOM,73,260.460266,529.408233,4.156274,1631129,377,9,1.636018,3,3.20048,166,39,86,0.195708,1,35,3,0.061344,0.03501,333.278829,8112,284,0.098064,0.055966,464.820967,8112,454,0.107784,0.061514,425.508697,8112,499,0.821448,0.548773,465.212157,6930,3803,0.6264,0.357495,475.910579,8112,2900,0.147528,0.084196,507.072568,8112,683,OLSR,OLSR,AODV-AERS1,0.821448,0.548773,333.278829
854,HOTSPOT,52,53.295045,987.77551,4.545261,571646,441,8,0.943,3,5.371798,80,17,48,0.156744,39,51,5,0,0,-1,2430,0,0,0,-1,2430,0,0,0,-1,2430,0,0,0,-1,0,0,0,0,-1,2430,0,0,0,-1,2430,0,NONE,NONE,NONE,0,0,-1
364,HOTSPOT,33,16.070712,1432.977616,3.824874,202373,262,10,2.334051,2,4.580864,76,17,38,0.060072,27,31,8,0,0,-1,1448,0,0,0,-1,1448,0,0,0,-1,1448,0,0,0,-1,0,0,0,0,-1,1448,0,0,0,-1,1448,0,NONE,NONE,NONE,0,0,-1
809,RANDOM,44,63.865988,830.025665,1.5384,421350,1268,8,3.283582,1,4.962631,27,5,14,0.030636,1,12,5,0.411955,0.956661,11.103702,623,596,0.402278,0.934189,12.687644,623,582,0.384307,0.892456,13.149545,623,556,0.349056,1,7.212096,505,505,0.429926,0.998395,16.559073,623,622,0.326938,0.75923,22.469435,623,473,DSDV,OLSR,OLSR,0.429926,1,7.212096
930,GRID,64,262.539212,493.733845,3.479493,1090926,1289,5,1.646193,1,4.158842,72,9,41,0.125836,0,63,3,0.168576,0.151324,263.885826,1586,240,0.285174,0.25599,151.577965,1586,406,0.13767,0.123581,173.964207,1586,196,0.07305,0.077209,36.546627,1347,104,0.650422,0.583859,85.884997,1586,926,0.196672,0.176545,160.078858,1586,280,DSDV,DSDV,OLSR,0.650422,0.583859,36.546627
815,LINE,52,167.84903,556.598785,0.971461,879263,998,6,3.146917,4,3.62988,39,8,26,0.044928,0,51,2,0.330509,0.365839,37.744538,1651,604,0.552125,0.611145,188.114412,1651,1009,0.329414,0.364627,45.853636,1651,602,0.667037,0.73834,3.980355,1651,1219,0.837763,0.927317,12.178873,1651,1531,0.44159,0.488795,53.497025,1651,807,DSDV,DSDV,OLSR,0.837763,0.927317,3.980355
638,TWO_CLUSTER,37,18.775721,1403.791317,8.466986,174825,485,11,2.016579,2,3.177817,63,15,40,0.148071,13,28,6,0.165802,0.897778,13.03093,675,606,0.159509,0.863704,13.620848,675,583,0.164434,0.89037,63.553932,675,601,0.036389,0.393491,6.13387,338,133,0,0,-1,675,0,0.167443,0.906667,13.20657,675,612,AODV,AODV,OLSR,0.167443,0.906667,6.13387
112,LINE,45,34.567293,1140.968286,7.996855,505670,1145,12,2.234149,2,4.758129,108,15,49,0.184823,0,44,5,0.194562,0.375604,45.616002,828,311,0.484214,0.934783,10.743122,828,774,0.49047,0.94686,10.930079,828,784,0.184552,0.443609,17.097353,665,295,0.198941,0.384058,79.304352,828,318,0.495475,0.956522,11.332612,828,792,AODV,AODV,AODV-AERS2,0.495475,0.956522,10.743122
602,CORRIDOR,78,25.292787,1756.098846,5.341336,740659,210,10,3.314923,3,4.864195,117,16,71,0.197617,34,40,7,0.201443,0.239982,492.576165,6613,1587,0.032241,0.038409,108.435132,6613,254,0.154224,0.183729,274.777333,6613,1215,0.0985,0.156294,448.850734,4965,776,0.179103,0.213368,726.576032,6613,1411,0.052931,0.063058,293.164729,6613,417,AODV-AERS1,AODV-AERS1,AODV-AERS2,0.201443,0.239982,108.435132
121,LINE,42,23.68407,1331.669562,4.401959,250976,220,9,2.111683,1,4.538948,168,42,78,0.181583,0,41,6,0.254349,0.899439,6.048671,2138,1923,0.243238,0.86015,5.761143,2138,1839,0,0,-1,2138,0,0.117717,0.923237,75.263474,964,890,0.275115,0.972872,23.424552,2138,2080,0.269559,0.953227,4.715308,2138,2038,DSDV,DSDV,AODV,0.275115,0.972872,4.715308
534,TWO_CLUSTER,59,216.698243,521.793075,5.042947,1313079,300,6,1.896963,3,1.402904,54,13,26,0.162052,8,57,2,0.194176,0.135267,437.749379,8206,1110,0.463398,0.322813,153.206184,8206,2649,0.328875,0.229101,436.909943,8206,1880,0.795247,0.754272,340.263128,6027,4546,1.042428,0.726176,165.686306,8206,5959,0.171435,0.119425,367.812156,8206,980,DSDV,OLSR,AODV-AERS2,1.042428,0.754272,153.206184
454,GRID,71,111.283066,798.756918,0.363079,1455442,162,9,2.031683,4,4.169944,48,8,33,0.028395,8,63,5,0.097179,0.056931,542.148684,16845,959,0.303392,0.177738,547.284067,16845,2994,0.1976,0.115761,513.268868,16845,1950,0.330651,0.234681,660.023234,13904,3263,0.376757,0.220718,753.532511,16845,3718,0.189291,0.110893,482.171617,16845,1868,DSDV,OLSR,AODV,0.376757,0.234681,482.171617
596,TWO_CLUSTER,20,13.733564,1206.766853,12.883167,105565,317,7,1.25859,3,3.165384,37,8,25,0.103373,8,9,5,0.10764,0.9375,44.096713,624,585,0.089792,0.782051,20.676895,624,488,0.10764,0.9375,38.397311,624,585,0.0368,0.390625,41.452267,512,200,0.063848,0.55609,42.639287,624,347,0.107088,0.932692,8.440009,624,582,AODV-AERS1,AODV-AERS1,AODV,0.10764,0.9375,8.440009
